locality,avg_rating,avg_cost,number_of_restaurants
"Paradise Hotel, Silpukhuri",3.9,650.00,1
"Food Villa, Pan Bazaar",3.8,375.00,4
"Dona Planet Mall, Christian Basti",3.8,675.00,2
Dispur,3.7,570.00,15
"The Hub, Bhangagarh",3.7,741.67,6
"Pragati Manor, Christian Basti,",3.6,900.00,2
"Hotel Nandan, Paltan Bazaar",3.6,883.33,3
